estandar	dialectal	whisper
Ah	Ah	Ah,
~,	~,	pero
pero	pero	eso
eso	eso	ya
~,	~,	me
eso	eso	dijo,
ya	ya	yo
~,	~,	no
ya	ya	la
~,	~,	he
eso	eso	hecho
ya	ya	eso.
lo	lo	Yo
han	han	eso
hecho	hecho	ya
ya	ya	lo
mis	mis	he
hijas	hijas	hecho,
yo	yo	y
no	no	van
lo	lo	así,
he	ha
hecho	hecho
eso	eso
yo	yo
~,	~,
[HS:E3	[HS:E3
		Eso			Eso
no	no
~,	~,
¿~	¿~
no	no
~?	~?
		]			]
[CHASQ]	[CHASQ]
yo	yo
eso	eso
~,	~,
eso	eso
ya	ya
lo	lo
han	han
hecho	hecho
mis	mis
hijas	hijas
~,	~,
y	y
se	se
han	han
~|	~|
van	van
así	así
e	e
~|	~|
y	y
yo	yo
no	no
~.	~.
