estandar	dialectal	whisper
No	No	No,
~,	~,	hombre,
hombre	hombre	no.
~,	~,	Que
no	no	tenía
~,	~,	que
[HS:I1	[HS:I1	ver,
		[A-Inn]			[A-Inn]	tenía
		]			]	que
que	que	ver
~,	~,	la
que	que	hora
tenía	tenía	un
que	que	poquito
haber	habé	de
~,	~,	catícola
tenía	tenía	y
que	que	su
haber	haber	paquiló.
ahora	ahora	Lo
un	un	se
poquito	poquito	iba
de	de	a
castigo	castigo	respetar
de	de	un
eso	eso	topío
que	que	en
sepa	sepa	los
que	que	padres,
los	los	que
~,	~,	no
los	los	se
hijos	hijos	piden
respetaran	respetaran	a
también	también	los
un	un
poquillo	poquillo
a	a
los	los
padres	padres
~,	~,
es	es
que	que
no	no
respetan	respetan
ni	ni
a	a
los	los
maestros	maestros
~.	~.
