estandar	dialectal	whisper
No	No	No,
~,	~,	no,
no	no	no,
~,	~,	no,
no	no	no,...ush...
~,	~,	Los
no	no	analyst.
~,	~,	Las
esto	esto	autoridades
era	era	emprendenas
pa	pa	Pero
las	las	no,
fiestas	fiestas	señores,
mayores	mayores	no...
~,	~,	A我覺得...
¿~	¿~	Está
eh	eh	muy
~?	~?	HOLIDMANY
[HS:E1	[HS:E1	Ya
		~¡~			~¡~	cáncame
Ah	Ah	lo
~!	~!	que
		]			]	Fomont
Los	Los	snugo
domingos	domingos	Tuchaba
baile	baile	el
con	con	acto
gramola	gramola	saliendo
~,	~,	F
¿~	¿~	momentamente
eh	eh	a
~?	~?	un
Y	Y	capaz
vale	vale
~…	~…
[RISAS]	[RISAS]
