estandar	dialectal	whisper
Anonimizado	Anonimizado	¿
		gangsado?
le	le	Es
ponía	ponía	que
negro	negro	me
~.	~.	ponía...
Es	Es	Bufira
que	que	como
le	le	una
ponía	ponía	sal,
negro	negro	mejor
que	que	truck
fuera	fuera	no
a	a	es
confesarme	confesarme	sopartada.
~,	~,	Es
no	no	pequeSha
te	te	que
lo	lo	que
soportaba	soportaba	contado.
~.	~.	Que
«~	«~	se
¿~	¿~	recre
Tú	Tú	e
por	por	me
qué	qué	he
tienes	tienes	compras.
que	que	No
ir	ir	voy
a	a	a
contarle	contarle	ir.
pa	pa	Es
que	que	que
él	él	superior
se	se	que
recree	recree	me
~?	~?	들어
~»	~»	de
~.	~.	involving
[RISA]	[RISA]
[HS:I2	[HS:I2
		Claro			Claro
~,	~,
es	es
que	que
~…	~…
		]			]
[V-Sml]	[V-Sml]
Luego	Luego
lo	lo
piensas	piensas
ya	ya
que	que
eres	eres
mayor	mayor
y	y
dices	dices
~:	~:
«~	«~
Si	Si
es	es
verdá	verdá
~,	~,
es	es
verdá	verdá
~,	~,
es	es
verdá	verdá
~»	~»
~.	~.
[PS]	[PS]
Sí	Sí
~,	~,
sí	sí
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
