estandar	dialectal	whisper
Si	Si	que
viene	viene	la
mal	mal	cabeza
~,	~,	viene
pues	pues	bien.
llamamos	llamamos	Dejamos.
al	al	Si
veterinario	veterinario	mire
~.	~.	mal,
[HS:E1	[HS:E1	pues
		[Asent]			[Asent]	la
~.	~.	hemos
		]			]	abretrina
Pero	Pero	yo.
también	también	Pero
se	se	también
dan	dan	se
casos	casos	dan
~|	~|	casos.
a	a	Nosotros
nosotros	nosotros	dos
el	el	años,
otro	otro	una
año	año	de
~,	~,	paridos,
una	una	el
que	que	uno
parió	parió	pues
dos	dos	venía
y	y	con
el	el	las
uno	uno	patas
~,	~,	de
pues	pues	atrás.
venía	venía	La
con	con	estrella
las	las	mamá,
patas	patas	y
de	de	no
atrás	atrás	salía.
~…	~…	Quieramos
no	no	muchísimo,
te	te	hasta
sé	sé	que
decirlo	decirlo	la
~;	~;	estarda...
las	las	Hasta
traía	traía	las
mal	mal
y	y
no	no
salía	salía
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
tiramos	tiramos
muchísimo	muchísimo
~,	~,
hasta	hasta
con	con
un	un
tractor	tractor
~,	~,
[HS:E1	[HS:E1
		¿~			¿~
Con	Con
un	un
tractor	tractor
~?	~?
		]			]
hasta	hasta
~,	~,
hasta	hasta
arrastramos	arrastramos
la	la
vaca	vaca
a	a
la	la
calle	calle
~.	~.
[HS:E1	[HS:E1
		Ay			Ay
~,	~,
pobre	pobre
~.	~.
		]			]
[A-Inn]	[A-Inn]
hemos	hemos
hecho	hecho
nunca	nunca
~,	~,
lo	lo
que	que
nos	nos
ocurrió	ocurrió
~;	~;
y	y
tuvo	tuvo
que	que
venir	venir
el	el
veterinario	veterinario
~,	~,
le	le
sacó	sacó
ya	ya
muerto	muerto
~,	~,
claro	claro
~,	~,
que	que
ya	ya
con	con
el	el
número	número
del	del
veterinario	veterinario
~,	~,
el	el
veterinario	veterinario
le	le
llamamos	llamamos
y	y
todo	todo
~,	~,
aunque	aunque
tenemos	tenemos
teléfono	teléfono
~,	~,
pero	pero
en	en
cuanto	cuanto
le	le
llamamos	llamamos
ya	ya
~.	~.
[A-Inn]	[A-Inn]
y	y
lo	lo
sacó	sacó
~,	~,
muerto	muerto
~.	~.
Y	Y
luego	luego
vio	vio
el	el
veterinario	veterinario
que	que
tenía	tenía
otro	otro
~,	~,
y	y
tenía	tenía
otro	otro
la	la
vaca	vaca
~.	~.
