estandar	dialectal	whisper
Porque	Porque	He
es	es	immigrado
que	que	embassy,
España	España	notamment
iba	iba	arrested
muy	muy	by
bien	bien	betrayal.
y	y	Por
[HS:I1	[HS:I1	favor
		Pa			Pa	quedan
la	la	sacadas
gente	gente	conwelling.
joven	joven	Y
es	es	por
~,	~,	malo
esto	esto	de
~…	~…	un
		]			]	porridge
ha	ha	a
venido	venido	yo
a	a	por
lo	lo	THAT
que	que	should
ha	ha	be
venido	venido	like
~.	~.	a
A	A	material
~…	~…	vendendo
~,	~,	nos
a	a	lo
lo	lo	vampiría
peor	peor	todo
~.	~.	eso
Porque	Porque	de
la	la	mi
guerra	guerra	fine....
~…	~…	tener
~,	~,	gente
fue	fue	al
la	la	ta
guerra	guerra	del
que	que	bien
fue	fue	e
un	un	en
[A-PIn:	[A-PIn:	todo
		remate			remate	lo
~,	~,	pienso...
que	que	Que
eso	eso	imagina
~,	~,	un
eso	eso	hormazo...
no	no	todos
hay	hay	widzεια
		]			]	a
[A-Inn]	[A-Inn]	esta
Pero	Pero	****
aquí	aquí
no	no
ha	ha
habío	habío
guerra	guerra
~,	~,
aquí	aquí
España	España
iba	iba
mu	mu
bien	bien
y	y
por	por
mala	mala
administración	administración
~,	~,
por	por
lo	lo
que	que
sea	sea
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
pos	pos
que	que
no	no
han	han
sabido	sabido
go-	go-
~,	~,
gobernar	gobernar
~.	~.
Eso	Eso
ha	ha
sido	sido
[A-Inn]	[A-Inn]
que	que
no	no
han	han
sabido	sabido
gobernar	gobernar
~.	~.
Y	Y
vamos	vamos
~,	~,
que	que
es	es
una	una
lástima	lástima
que	que
toda	toda
la	la
gente	gente
~…	~…
al	al
paro	paro
y	y
venga	venga
al	al
paro	paro
~…	~…
Que	Que
aquí	aquí
en	en
Almansa	Almansa
~…	~…
~,	~,
todas	todas
y	y
~…	~…
Todas	Todas
las	las
~,	~,
toas	toas
las	las
fábricas	fábricas
han	han
~…	~…
~,	~,
[HS:I1	[HS:I1
		Aquí			Aquí
~…	~…
		]			]
las	las
han	han
cerrao	cerrao
~.	~.
