estandar	dialectal	whisper
Es	Es	Es
muy	muy	muy
bonito	bonito	bonito
como	como	como
s-	s-	los
~,	~,	unos
nos	nos	conocíamos.
conocíamos	conocíamos	Mira.
~.	~.	A
[RISA]	[RISA]	la
Mira	Mira	punta
~…	~…	de
~,	~,	mi
a	a	calle,
la	la	no,
punta	punta	pasando
de	de	capaqués,
mi	mi	¿no?
calle	calle	Había
~,	~,	una
bueno	bueno	casa
~,	~,	así.
pasándola	pasándola	Ah,
pa	pa	como
aquí	aquí	te
¿~	¿~	lo
no	no	explico.
~,	~,	A
		la
Anonimizado	Anonimizado	punta
		de
~?	~?	mi
Había	Había	calle
un	un	subíamos,
~…	~…	así
~,	~,	era
		una
una	una	vuelta
casa	casa	así,
así	así	y
~.	~.	había
A	A	una
ver	ver	cara
cómo	cómo	de
te	te	paquidad
lo	lo	o
explico	explico	otra
~.	~.	polea.
A	A	Me
la	la	pise
punta	punta	ponía
de	de	todos
mi	mi	los
calle	calle	chicos.
subíamos	subíamos	Había
~,	~,	un
hacía	hacía	poco
una	una	más
vuelta	vuelta	de
así	así	la
y	y	gente.
había	había	Y
una	una	claro,
calle	calle	siempre
pa	pa	estaba
aquí	aquí	bien.
abajo	abajo	Una
~,	~,	noche,
otra	otra	normalmente
por	por	por
allá	allá	la
~.	~.	noche.
Y	Y	No
aquí	aquí	fue
se	se	un
ponían	ponían	otro,
todos	todos	no
los	los	lo
chicos	chicos	se
a	a	conocía.
ver	ver	No,
cómo	cómo	no
pasaban	pasaban	se
[A-Inn]	[A-Inn]	son
y	y	así.
claro	claro	Entonces,
~…	~…	pues,
siempre	siempre	maillando,
estaba	estaba	conversando,
lleno	lleno	y
~;	~;	en
por	por	ese
la	la	tiempo,
noche	noche	tu
~,	~,	grupito,
normalmente	normalmente	pero
por	por	yo
la	la	ya
noche	noche	me
~.	~.	marché
En	En	de
un	un	grupito.
pueblo	pueblo	Me
todo	todo	fuera
el	el	uno
mundo	mundo	de
se	se	mayo,
conoce	conoce	y
~.	~.	me
[HS:E2	[HS:E2	gustaba
		Sí			Sí	más.
~.	~.	Sí.
		]			]	Entonces,
Todo	Todo	yo
el	el	nos
mundo	mundo	llevábamos
se	se	casi
conoce	conoce	siete
~.	~.	años
Entonces	Entonces	con
pues	pues	mi
bailando	bailando	maldita
~,	~,	de
conversando	conversando
~,	~,
[OTRAS-EM]	[OTRAS-EM]
tienes	tienes
siempre	siempre
el	el
tu	tu
~…	~…
~,	~,
tu	tu
grupito	grupito
pero	pero
~…	~…
yo	yo
ya	ya
me	me
marché	marché
del	del
grupito	grupito
~.	~.
Me	Me
fui	fui
a	a
uno	uno
de	de
mayor	mayor
~,	~,
me	me
gustaba	gustaba
más	más
~.	~.
[RISA]	[RISA]
Pues	Pues
yo	yo
~…	~…
~,	~,
nos	nos
llevábamos	llevábamos
casi	casi
siete	siete
años	años
con	con
mi	mi
marido	marido
~,	~,
pobre	pobre
~.	~.
