estandar	dialectal	whisper
Nada	Nada	La
~…	~…	leании
~,	~,	guilty
nada	nada	es
~.	~.	que
Si	Si	sí,
no	no	mis
en	en	exp造
casa	casa	dominantov
parían	parían	de
a	a	los
lo	lo	periodistas
mejor	mejor	ya
[R-Mcr]	[R-Mcr]	del
si	si	32
sabías	sabías	25
que	que	30
iba	iba	Martinez
a	a	Axel
parir	parir	Buenos
~…	~…	D
[HS:E	[HS:E	impressive
		Las			Las	게
traían	traían	injury
~.	~.	enAppes
		]			]	en
Claro	Claro
~.	~.
Además	Además
venían	venían
todos	tos
los	los
días	días
a	a
las	las
cuatro	cuatro
de	de
la	la
mañana	mañana
~,	~,
ahora	ahora
cuando	cuando
llega	llega
mayo	mayo
~,	~,
las	las
soltabas	soltabas
a	a
la	la
dehesa	dehesa
~,	~,
a	a
las	las
cuatro	cuatro
de	de
la	la
mañana	mañana
~,	~,
y	y
a	a
las	las
ocho	ocho
a	a
por	por
ellas	ellas
~,	~,
porque	porque
con	con
las	las
vacas	vacas
que	que
iban	iban
pa	pa
labrar	labrar
pues	pues
íbamos	íbamos
a	a
por	por
ellas	ellas
~.	~.
A	A
las	las
cuatro	cuatro
de	de
la	la
tarde	tarde
~,	~,
otra	otra
vez	vez
a	a
llevarlas	llevalas
a	a
la	la
dehesa	dehesa
y	y
a	a
las	las
ocho	ocho
de	de
la	la
noche	noche
a	a
por	por
ellas	ellas
otra	otra
vez	vez
~.	~.
Conque	Conque
mira	mira
~.	~.
