estandar	dialectal	whisper
No	No	No,
~,	~,	no,
no	no	no,
~,	~,	no.
no	no	Yo,
~,	~,	por
no	no	ejemplo,
~,	~,	pues
no	no	tengo
~.	~.	matado
Yo	Yo	muchos
~,	~,	años
por	por	a
ejemplo	ejemplo	50
~…	~…	cerdos.
pues	pues	A
tengo	tengo	Dovesien
que	que	nos
matar	matar	habrá
muchos	muchos	los
años	años	de
a	a	por
~…	~…	aquí
cie-	cie-	en
~,	~,	el
a	a	contorno.
cincuenta	cincuenta	De
cerdos	cerdos	llamaban
~,	~,	y
[HS:E1	[HS:E1	o
		[Asent]			[Asent]	matarlos.
~.	~.	Así
		]			]	que
a	a	glaub
los	los	que
vecinos	vecinos	exhibition
~,	~,	processed
¿~	¿~	hacia
sabes	sabes	mi認為
~?	~?
~,	~,
a	a
los	los
de	de
~,	~,
de	de
~,	~,
de	de
~,	~,
de	de
por	por
aquí	aquí
en	en
el	el
~,	~,
del	del
contorno	contorno
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Te	Te
llamaban	llamaban
y	y
e-	e-
~…	~…
iba	iba
a	a
matarlos	matarlos
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
partirlos	partirlos
y	y
~…	~…
salarlos	salarlos
~.	~.
