estandar	dialectal	whisper
Pues	Pues
eso	eso
que	que
~…	~…
pasa	pasa
~.	~.
Y	Y
ahora	ahora
ya	ya
dejamos	dejemos
de	de
matar	matar
~.	~.
[A-Nul]	[A-Nul]
~.	~.
[HS:I2	[HS:I2
		Y			Y
al	al
campo	campo
y	y
a	a
todo	todo
~.	~.
		]			]
Ah	Ah
~,	~,
y	y
en	en
aquellos	aquellos
años	años
~,	~,
al	al
campo	campo
y	y
a	a
todo	todo
~.	~.
[HS:I2	[HS:I2
		Al			Al
campo	campo
~.	~.
Al	Al
campo	campo
íbamos	íbamos
~.	~.
		]			]
Mucho	Mucho
~…	~…
~,	~,
mucho	mucho
~,	~,
se	se
iba	iba
mucho	mucho
~.	~.
Y	Y
andando	andando
a	a
Huesca	Huesca
~,	~,
¿~	¿~
eh	eh
~?	~?
[HS:E1	[HS:E1
		[A-Nul]			[A-Nul]
ido	ido
al	al
campo	campo
~.	~.
		]			]
[HS:I2	[HS:I2
		Y			Y
andando	andando
a	a
Huesca	Huesca
~.	~.
		]			]
Cinco	Cinco
horas	horas
~…	~…
~,	~,
que	que
nos	nos
costaba	costaba
~.	~.
[HS:I2	[HS:I2
		Andando			Andando
a	a
Huesca	Huesca
~.	~.
		]			]
