estandar	dialectal	whisper
Baja	Baja	las
los	los	válades
~,	~,	corregidasHHHHHHHHH
los	los	las
olivos	olivos	voces
y	y	vanpegrino
en	en	y
los	los	de
~,	~,	allez
los	los	después
agujeros	gujeros
ponen	ponen
los	los
~,	~,
los	los
huevos	huevos
los	los
pajarillos	pajarillos
por	por
allí	allí
hacen	hacen
los	los
nidos	nios
~,	~,
[HS:E1	[HS:E1
		¿~			¿~
Ah	Ah
~,	~,
sí	sí
~?	~?
		]			]
¿~	¿~
no	no
~?	~?
pues	pues
entonces	entonces
la	la
culebra	culebra
y	y
salen	salen
~.	~.
Se	Se
comen	comen
eso	eso
~.	~.
Y	Y
~…	~…
~,	~,
y	y
ya	ya
le	le
digo	digo
~,	~,
y	y
~…	~…
se	se
~|	~|
y	y
la	la
madre	madre
la	la
dejan	dejan
lista	lista
y	y
si	si
no	no
está	está
ella	ella
pos	pos
se	se
comen	comen
los	los
huevos	huevos
la	la
culebra	culebra
sabe	sabe
mucho	mucho
~.	~.
Y	Y
el	el
lagarto	lagarto
le	le
pasa	pasa
igual	igual
~.	~.
[HS:E2	[HS:E2
		¿~			¿~
Ah	Ah
~,	~,
sí	sí
~?	~?
		]			]
El	El
lagarto	lagarto
es	es
peor	peor
~.	~.
