estandar	dialectal	whisper
[HS:E1	[HS:E1	No,
		No			No	no,
~,	~,	no,
porque	porque	no.
está	está	No,
cerca	cerca	no,
del	del	no,
mar.	mar.	no,
		]			]	no.
Muy	Muy	Puede
poco	poco	nevar
~.	~.	un
Puede	Puede	poco.
nevar	nevar	Este
un	un	año,
poco	poco	dice,
~.	~.	no,
Este	Este	dos
año	año	veces,
~,	~,	ya
dicen	dicen	no
~,	~,	estaba
nevó	nevó	aquí.
dos	dos	Tiene
veces	veces	dos
~,	~,	veces
yo	yo	y,
no	no	pero
estaba	estaba	bueno,
aquí	aquí	de
~,	~,	eso
que	que	que...
nevó	nevó	En
dos	dos	una
veces	veces	sobrina
y	y	mía
~…	~…	te
~,	~,	diven
pero	pero	ahí,
bueno	bueno	en
~,	~,	un
de	de	sobrinte
eso	eso	de
que	que	vida
~…	~…	y
Una	Una	te
sobrina	sobrina	daba...
mía	mía	Y
que	que	entonces,
viven	viven	levantó
ahí	ahí	la
~,	~,	oreja
un	un	y
sobrín	sobrín	te
que	que	la
vive	vive	mañana
ahí	ahí	que
pegao	pegao	estaba
~,	~,	todo,
y	y	o
cuando	cuando	no
se	se	he
levantó	levantó	dado,
a	a	y
las	las	sacó
siete	siete	la
de	de	cámara
la	la	y
mañana	mañana	anduvo
~,	~,	firmándolo
que	que	y...
estaba	estaba	Y
todo	todo	anduvo,
nevao	nevao	y
y	y	se
sacó	sacó	nunca
la	la	lo
cámara	cámara	había
y	y	visto,
anduvo	anduvo	porque
filmándolo	firmándolo	ya
~,	~,	era
y	y	de
anduvo	anduvo	colunca
~…	~…	nacida,
Dice	Dice	y
nunca	nunca	colunca
lo	lo	pues
había	había	tampoco
visto	visto	nieva.
~,	~,	Claro.
porque	porque	Y
ella	ella	viva,
[L-Otra:	[L-Otra:	viva,
		es			ye	viva,
		]			]	tía
de	de	riva
Colunga	Colunga	en
~,	~,	el
nacida	nacida	cito
en	en	que
Colunga	Colunga	no
~,	~,	se
pues	pues	si
tampoco	tampoco	lo
nieva	nieva	conocéis
~.	~.	en
[HS:E1	[HS:E1	el
		Claro			Claro	priorado
~,	~,	del
porque	porque
[A-Inn]	[A-Inn]
~.	~.
		]			]
Pero	Pero
bueno	bueno
~,	~,
nieva	nieva
~,	~,
ves	ves
la	la
nieve	nieve
aquí	aquí
arriba	arriba
en	en
el	el
Fito	Fito
~,	~,
que	que
no	no
sé	sé
si	si
lo	lo
conocéis	conocéis
~,	~,
donde	donde
el	el
mirador	mirador
del	del
Fito	Fito
y	y
eso	eso
~.	~.
