estandar	dialectal	whisper
~¡~	~¡~	...y
Uy	Uy	en
~,	~,	todo
hija	hija	el
~!	~!	día
[HS:E1	[HS:E1	como
		[A-Inn]			[A-Inn]	mi
daban	daban	marido
~…	~…	a
		]			]	pedir
Pues	Pues	la
mira	mira	entrada......y
~,	~,	en
yo	yo	todo
me	me	el
casé	casé	día
~…	~…	como
en	en	mi
febrero	febrero	marido
~,	~,	a
el	el	pedir
día	día	la
veintidós	ventidós
de	de
febrero	febrero
~,	~,
y	y
entró	entró
tal	tal
día	día
como	como
hoy	hoy
mi	mi
marido	marido
a	a
pedir	pedir
la	la
entrada	entrada
~,	~,
conque	conque
mira	mira
~,	~,
todo	todo
eso	eso
entró	entró
en	en
casa	casa
~.	~.
