estandar	dialectal	whisper
El	El	Como
jamón	jamón	con
~,	~,	lo
pues	pues	consistía
no	no	más
consistía	consistía	que
más	más	un
que	que	poned
en	en	de
~,	~,	de
en	en	bajo,
ponerle	ponerle	una
debajo	debajo	capa
una	una	de
capa	capa	4
de	de	o
cuatro	cuatro	6
o	o	de
seis	seis	dos
dedos	dedos	de
de	de	sal,
sal	sal	me
~,	~,	quedó
[HS:E	[HS:E	a
		[Asent]			[Asent]	jamón
~.	~.	y
		]			]	luego
meter	meter	llenar
el	el	el
jamón	jamón	de
~,	~,	sal
y	y	y
luego	luego	apretar
llenarle	llenarle	el
de	de	bien,
sal	sal	dejabé
~,	~,	allí,
y	y	tantos
apretarle	apretarle	filos
bien	bien	que
~,	~,	se
dejarle	dejarle	aban
allí	allí	jamón,
~.	~.	tantos
Tantos	Tantos	días
kilos	kilos	había
pesaba	pesaba	que
el	el	tener
jamón	jamón
~,	~,
tantos	tantos
días	días
había	había
que	que
tenerle	tenerle
~.	~.
