estandar	dialectal	whisper
Sí	Sí	Si,
~,	~,	un
untaba	untaba	tal
el	el	pago
pan	pan	en
con	con	aceite
aceite	aceite	y
y	y	se
se	se	echaba
echaba	echaba	de
de	de	merienda,
merienda	merienda	un
~,	~,	tal
pues	pues	pago
untao	untao	en
el	el	aceite
pan	pan	y
con	con	echaba
aceite	aceite	un
y	y	poco
echar	echar	a
un	un	su
poco	poco	cuerpo.
de	de	Por
azúcar	azúcar	ahí
por	por	me
arriba	arriba	voy
~,	~,	a
y	y	dar
esa	esa	la
[HS:I2	[HS:I2
		O			O
~,	~,
o	o
~,	~,
o	o
~,	~,
o	o
		]			]
era	era
la	la
merienda	merienda
~.	~.
