estandar	dialectal	whisper
Fritas	Fritas	T
en	en	hearton
aceite	aceite	bearings
~.	~.	en
En	En	la
aceite	aceite	aceite,
con	con	una
unas	unas	loncha
lonchas	lonchas	de
de	de	sal
sal	sal	recoge,
~.	~.	tá
[HS:E1	[HS:E1	новissa
		[Asent]			[Asent]	por
~.	~.	que
		]			]	steel?
[HS:I2	[HS:I2	solo
		[L-Otra:			[L-Otra:	pegado,
		A			A	porque
fritas	fritas	aquí
nunha	nunha	aquí
sarten	sarten	hapta
		]			]	leve
~.	~.	¿no
		]			]	tercero?
Y	Y	A
jamón	jamón	faltar
~.	~.	el
[A-Inn]	[A-Inn]	asta
Haces	Haces	Bote
un	un	el
picado	picao
de	de
setas	setas
~,	~,
le	le
picas	picas
un	un
poco	poco
la	la
panceta	panceta
y	y
el	el
jamón	jamón
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
~…	~…
~,	~,
y	y
así	así
está	está
muy	muy
bien	bien
~.	~.
Luego	Luego
~,	~,
claro	claro
~,	~,
hay	hay
quien	quien
las	las
hace	hace
con	con
un	un
guiso	guiso
~,	~,
que	que
ya	ya
es	es
con	con
carne	carne
~,	~,
como	como
[A-Inn]	[A-Inn]
estilo	estilo
champiñón	champiñón
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
que	que
están	están
riquísimas	riquísimas
~.	~.
