estandar	dialectal	whisper
Y	Y	y
~…	~…	mataban
mataban	mataban	y
y	y	el
entre	entre	crimencñado,
mi	mi	sezdó
cuñao	cuñao	de
~,	~,	unos
el	el	pateantes
pobre	pobre	y
[HS:I3	[HS:I3	con
		[A-Inn]			[A-Inn]	Los
poca	poca	generate
gente	gente	saying
~.	~.	because
		]			]	esos
[A-Inn]	[A-Inn]	hozo...恐ございます
pues	pues	gueces,
eso	eso	por
son	son	redes
pastores	pastores	기자
~,	~,	yópatro
[A-Inn]	[A-Inn]	comenzaron
borregos	borregos	12
~,	~,	kilómetros
no	no	que
sé	sé	enseñó
qué	qué	masίο
~.	~.	y
Y	Y	dice
dice	dice	mi
~…	~…	emanado
~,	~,	y
y	y	convergence
~…	~…	a
descuartizarlo	descuartizarlo	muchas
y	y	makas
to	to	y
[A-Inn]	[A-Inn]	dijo,
~.	~.	rep연
Y	Y	буду
dice	dice	no
mi	mi	acá
~,	~,	laboratory
mi	mi	es
hermana	hermana	unknown
~,	~,	si
mi	mi	no
		lo
Anonimizado	Anonimizado	come
		solicita
~,	~,	perfecto
dice	dice	en
~:	~:	tu
«~	«~	caso
Llamar	Llamar
a	a
mi	mi
	
Anonimizado	Anonimizado
	
~,	~,
que	que
mi	mi
	
Anonimizado	Anonimizado
	
~…	~…
~»	~»
~.	~.
Y	Y
digo	digo
~:	~:
«~	«~
[A-Inn]	[A-Inn]
si	si
tú	tú
no	no
tienes	ties
más	más
que	que
pincharlo	pinchalo
~»	~»
~.	~.
