estandar	dialectal	whisper
Hombre	Hombre	hombre
~,	~,	huevos,
huevos	huevos	algún
~,	~,	huevo
algún	algún	si
huevo	huevo	sobraba
~,	~,	vendía
si	si	ni
sobraba	sobraba	conejos
vendían	vendían	también,
~,	~,	si
[HS:E1	[HS:E1	se
		[Asent]			[Asent]	lo
~.	~.	ya
		]			]	vendía
y	y	gallinas
conejos	conejos	también
[HS:E1	[HS:E1	si
		¿~			¿~	también
Y	Y	había
gallinas	gallinas	de
~,	~,	todo,
[A-PIn:	[A-PIn:	de
		claro			claro	todo
~,	~,	eso
tenían	tenían	de
~…	~…	gallinas,
~?	~?	si
		]			]	había
		]			]	de
también	también	todo
se	se	eso
solía	solía	también
vender	vender	se
~…	~…
Gallinas	Gallinas
también	también
~,	~,
sí	sí
~,	~,
también	también
había	había
~,	~,
había	había
de	de
todo	todo
~,	~,
de	de
todo	todo
eso	eso
de	de
gallinas	gallinas
~,	~,
sí	sí
~,	~,
había	había
viñas	viñas
~,	~,
que	que
también	también
se	se
cosechaba	cosechaba
vino	vino
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Eso	Eso
también	también
se	se
vendía	vendía
~.	~.
