estandar	dialectal	whisper
|T12|	|T12|	¿Y
Y	Y	qué
[HS:I1	[HS:I1	les
		A			A	decía
ver	ver	a
~…	~…	ustedes
		]			]	sus
¿~	¿~	padres?
qué	qué	¿A
diferencias	diferencias
de	de
educación	educación
en-	en-
~,	~,
qué	qué
~,	~,
qué	qué
les	les
decían	decían
a	a
ustedes	ustedes
sus	sus
padres	padres
y	y
qué	qué
~…	~…
~,	~,
qué	qué
~…	~…
~,	~,
qué	qué
~…	~…
~,	~,
qué	qué
~…	~…
~,	~,
[HS:I1	[HS:I1
		¿~			¿~
A	A
nosotros	nosotros
~…	~…
~?	~?
		]			]
qué	qué
recuerda	recuerda
que	que
~…	~…
[R-Anm]	[R-Anm]
cuan-	cuan-
~,	~,
imagínese	imagínese
una	una
situación	situación
~,	~,
qué	qué
~,	~,
qué	qué
les	les
decían	decían
~?	~?
