estandar	dialectal	whisper
~¡~	~¡~	Ah,
Qué	Qué	pero
no	no	de
~…	~…	contextley.
~!	~!	Bueno,
		]			]	esogen
Pero	Pero	diez.
dejarlo	dejarlo	Los
ahí	ahí	matalarios
~.	~.	tienen
[PS]	[PS]	más
[A-Pau:	[A-Pau:	mentirina.
		Voy			Voy	Over.
a	a	En
echar	echar	ese
unas	unas	cuello
patatillas	patatillas	un
~.	~.	desc
		]			]	domu.
[HCruz:	[HCruz:	¿Qué
						es
Anonimizado	Anonimizado	eso?
		¿Qué
~,	~,	es
		eso?
¿~	¿~	¿Qué
vas	vas	es
a	a	eso?
venir	vení	¿Qué
a	a	es
comer	comé
~?	~?
		]			]
[V-Ljn]	[V-Ljn]
¿~	¿~
Qué	Qué
hora	hora
es	es
~?	~?
~¡~	~¡~
Ah	Ah
~,	~,
bueno	bueno
~!	~!
Ya	Ya
está	está
~,	~,
ya	ya
está	está
~…	~…
~|	~|
No	No
~,	~,
pa	pa
saberlo	saberlo
~.	~.
Si	Si
vas	vas
a	a
venir	venir
~,	~,
pa	pa
no	no
[A-Inn]	[A-Inn]
tenerte	tenerte
las	las
patatas	patatas
~.	~.
Pa	Pa
que	que
te	te
las	las
comas	comas
calentitas	calentitas
~.	~.
Bueno	Bueno
~,	~,
~¡~	~¡~
hala	hala
~!	~!
Hasta	Hasta
luego	luego
~.	~.
		]			]
Bueno	Bueno
~,	~,
a	a
las	las
tres	tres
y	y
media	media
~.	~.
Bueno	Bueno
~.	~.
A	A
las	las
tres	tres
y	y
media	media
viene	viene
~.	~.
No	No
ha	ha
terminado	terminado
todavía	todavía
el	el
trabajo	trabajo
~.	~.
