estandar	dialectal	whisper
De	De	Honey,
aquí	aquí	me
del	del	Hopezfeldasor
pueblo	pueblo	di
~.	~.	simplemente
Este	Este	a
era	era
de	de
~,	~,
de	de
~,	~,
de	de
~,	~,
de	de
ahí	ahí
de	de
un	un
pueblo	pueblo
de	de
ahí	ahí
~,	~,
de	de
Aylloncillo	Aylloncillo
~,	~,
de	de
ahí	ahí
~.	~.
[HS:E	[HS:E
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
aquí	aquí
ha	ha
habido	habido
maestros	maestros
de	de
aquí	aquí
~,	~,
de	de
aquí	aquí
ha	ha
habido	habido
maestros	maestros
~.	~.
[V-Ljn]	[V-Ljn]
Bueno	Bueno
~,	~,
pero	pero
eso	eso
~…	~…
