estandar	dialectal	whisper
|T11|	|T11|	Pero
Sí	Sí	aquí
~.	~.	hay
Pero	Pero	casas
tú	tú	de
~|	~|	la
aquí	aquí	de
habían	habían	António,
casas	casas	una
de	de	de
~…	~…	las
La	La	4
de	de	y
		la
Anonimizado	Anonimizado	de
		5
~,	~,	de
una	una
~;	~;
la	la
de	de
	
Anonimizado	Anonimizado
	
~,	~,
dos	dos
~;	~;
la	la
de	de
	
Anonimizado	Anonimizado
	
es	es
tres	tres
~;	~;
la	la
de	de
	
Anonimizado	Anonimizado
	
~,	~,
cuatro	cuatro
~,	~,
y	y
la	la
de	de
	
Anonimizado	Anonimizado
	
~,	~,
cinco	cinco
~,	~,
de	de
muchos	muchos
hijos	hijos
~.	~.
