estandar	dialectal	whisper
Ese	Ese	Eído,
hijo	hijo	mío.
es	es	Ahí
mío	mío	se
~.	~.	le
[HS:E1	[HS:E1	manda
		Sí			Sí	la
~.	~.	que
		sería
Anonimizado	Anonimizado	un
		queso
~.	~.	o
		]			]	dos
A	A	por
ese	ese	Navidad
le	le	y
~|	~|	nos
		manda
Anonimizado	Anonimizado	a
		nosotros,
~.	~.	a
A	A	los
ese	ese	padres.
le	le	Nos
manda	manda	da
la	la	un
quesería	quesería	queso
un	un	que...
queso	queso	Muy
~,	~,	bueno,
o	o	el
dos	dos	queso
~,	~,	es
por	por	lo
Navidad	Navidá	que
y	y	llamaba
nos	nos	mi.
manda	manda	Sí,
~…	~…
~|	~|
él	él
nos	nos
da	da
a	a
nosotros	nosotros
~,	~,
a	a
~…	~…
~,	~,
a	a
los	los
padres	padres
~.	~.
Nos	Nos
da	da
un	un
queso	queso
que	que
~…	~…
~|	~|
muy	muy
bueno	bueno
~,	~,
el	el
queso	queso
mejor	mejor
que	que
yo	yo
me	me
comí	comí
~.	~.
[V-Sml]	[V-Sml]
Ese	Ese
~.	~.
