estandar	dialectal	whisper
[CARRASP]	[CARRASP]
[A-PIn:	[A-PIn:
		Era			Era
		]			]
chocolate	chocolate
~.	~.
[HS:I2	[HS:I2
		Chocolate			Chocolate
~,	~,
chocolate	chocolate
con	con
~…	~…
~,	~,
con	con
lo	lo
que	que
fuese	fuese
~,	~,
con	con
churros	churros
o	o
con	con
lo	lo
que	que
fuera	fuera
~.	~.
		]			]
Chocolate	Chocolate
con	con
churros	churros
o	o
con	con
pan	pan
o	o
[A-PIn:	[A-PIn:
		cada			cada
uno	uno
~…	~…
		]			]
[HS:I2	[HS:I2
		Según			Según
[A-PIn:	[A-PIn:
		seguía			seguía
		]			]
la	la
boda	boda
~…	~…
		]			]
[A-Inn]	[A-Inn]
~.	~.
