estandar	dialectal	whisper
Y	Y	que
a	a	lo
Madrid	Madrid	compraban
~,	~,	y
y	y	nos
ellos	ellos	lo
como	como	habitaban,
saben	saben	pues
que	que	venían
lo	lo	los
compraban	compraban	hombres
y	y	con
no	no	todas
se	se	las
lo	lo	semanas.
quitaban	quitaban	Y
~,	~,	entonces
pos	pos	hoy
venían	venían	mismo,
los	los	fíjate
hombres	hombres	que
[R-Ind]	[R-Ind]	ha
~,	~,	solido,
pos	pos	día
todas	tos	salido,
las	las
semanas	semanas
~.	~.
Y	Y
entonces	entonces
~,	~,
hoy	hoy
mismo	mismo
~,	~,
hoy	hoy
~,	~,
fíjate	fíjate
qué	qué
casualidad	casualidad
~,	~,
el	el
día	día
de	de
san	san
Isidro	Isidro
~,	~,
el	el
día	día
de	de
san	san
Isidro	Isidro
~,	~,
hoy	hoy
~,	~,
fíjate	fíjate
~.	~.
