estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	me
me	me	gustaba
gustaba	gustaba	mucho.
mucho	mucho	Pero
~,	~,	cuando
[HS:E1	[HS:E1	la
		[Asent]			[Asent]	firma
~.	~.	de
		]			]	aquí
pero	pero	estaba
cuando	cuando	ambizada,
la	la	que
hicieron	hicieron	tenía
aquí	aquí	que
~,	~,	ser
que	que	la
estaba	estaba	directora,
[A-Inn]	[A-Inn]	no
~,	~,	puede...
[HS:E1	[HS:E1	¡
		Sí			Sí
~.	~.
		]			]
que	que
tenía	tenía
que	que
ser	ser
la	la
directora	directora
~,	~,
[R_Tlf]	[R_Tlf]
me	me
ope-	ope-
~,	~,
me	me
operaron	operaron
~…	~…
Cógelo	Cógelo
~.	~.
[HS:E1	[HS:E1
		No			No
~,	~,
		]			]
