estandar	dialectal	whisper
Hombre	Hombre	¿Por
~,	~,	qué?
[HS:E1	[HS:E1	Por
		Pa			Pa	pleguero,
pagar	pagar	por
~.	~.	pleguero,
		]			]	por
el	el	pleguero,
molin-	molin-	como
~…	~…	hoy
~,	~,	vi.
el	el	¡Caro!
molinero	molinero	¿T<|ja|><|transcribe|><|ja|><|transcribe|><|ja|><|translate|><|ja|><|translate|>
~,	~,	Por
[HS:I2	[HS:I2	pleguero?
		Pa			Pa	Por
darle	dale
de	de
comer	comer
al	al
molinero	molinero
~.	~.
		]			]
el	el
molinero	molinero
¿~	¿~
cómo	cómo
iba	iba
a	a
vivir	viví
~?	~?
[HS:E1	[HS:E1
		Claro			Claro
~,	~,
claro	claro
~.	~.
		]			]
¿~	¿~
Que	Que
iba	iba
a	a
moler	moler
sin	sin
na	na
~?	~?
No	No
~,	~,
no	no
puede	puede
ser	sé
~.	~.
Así	Así
~,	~,
de	de
~…	~…
~,	~,
de	de
cuarenta	cuarenta
kilos	kilos
~,	~,
te	te
quitaba	quitaba
tres	tres
el	el
molinero	molinero
pa	pa
ellos	ellos
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Sí	Sí
~.	~.
