estandar	dialectal	whisper
Pues	Pues	Entonces,
eso	eso	normalmente
normalmente	normalmente	en
lo	lo	la
hacían	hacían	tiana
~…	~…	se
se	se	marquó
~,	~,	las
se	se	ucos
marcaban	marcaban	en
surcos	surcos	la
en	en	tierra
la	la	y
tierra	tierra	así
[HS:E1	[HS:E1	se
		[Asent]			[Asent]	sembraba.
~.	~.	Entonces,
		]			]	salían
y	y	en
así	así	su
se	se	cos
sembraba	sembraba	así.
~.	~.	No
Y	Y	me
entonces	entonces	ciano,
salían	salían	es
en	en	un
surcos	surcos	tome.
~,	~,	¿Te
así	así	acuerdas?
~…	~…	¿Te
[HS:E1	[HS:E1	acuerdas?
		[Asent]			[Asent]	¿Te
~.	~.	acuerdas?
		]			]	¿Te
[A-Nul]	[A-Nul]	acuerdas?
[V-Mrm]	[V-Mrm]	Estos
Es-	Es-	deployed.
~,	~,	Así,
esto	esto	nos
[G-Imt]	[G-Imt]	hace
es	es	stylish
un	un	de
surco	surco	todo
~,	~,	areapt
por	por	человека
ejemplo	ejemplo	como
~.	~.	él.
Aquí	Aquí	Lo
~,	~,	reporte
un-	un-	pues.
~,	~,	Otra
uno	uno	vez
~.	~.	aqueen
Este	Este	asar
otro	otro	undergo
~.	~.	yo
[G-Imt]	[G-Imt]	vow.
[HS:E1	[HS:E1	Bitch,
		[Asent]			[Asent]	dere
~.	~.	sensación
		]			]	pa.
Así	Así	Dejara
[G-Imt]	[G-Imt]	poder
se	se	males.
hacía	hacía	es
el	el	Where
terreno	terreno	hill
este	este	o
todo	todo	C
de	de	forma
~,	~,	es
de	de	el
surcos	surcos
de	de
estos	estos
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Luego	Luego
después	después
~,	~,
pues	pues
aquí	aquí
nacía	nacía
~…	~…
la	la
semilla	semilla
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Aquí	Aquí
se	se
criaba	criaba
el	el
trigo	trigo
~.	~.
Y	Y
es-	es-
~,	~,
es-	es-
~,	~,
este	este
surco	surco
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
le	le
segaba	segaba
un	un
hombre	hombre
~,	~,
este	este
otro	otro
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
y	y
tres	tres
~,	~,
los	los
tres	tres
~.	~.
Y	Y
esos	esos
les	les
segaba	segaba
cada	cada
~,	~,
cada	cada
tres	tres
hombres	hombres
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
el	el
otro	otro
~,	~,
y	y
el	el
~,	~,
y	y
el	el
~,	~,
y	y
el	el
número	número
cuatro	cuatro
iba	iba
~…	~…
recogiendo	recogiendo
~.	~.
