estandar	dialectal	whisper
Ahí	Ahí	y
se	se	ahí
conocían	conocían	se
las	las	conoció
chicas	chicas	a
y	y	las
se	se	chicas
hacía	hacía	ahí.
todo	to	A
~,	~,	ver
sí	sí	si
~,	~,	se
sí	sí	conoció
~.	~.	a
Había	Había	las
una	una	chicas,
vez	vez	a
una	una	ver
cosa	cosa	a
que	que	todos.
yo	yo	Había
me	me	una
río	río	vez
~,	~,	una
pero	pero	cosa
no	no	que
~,	~,	yo
no	no	me
es	es	río,
caso	caso	pero
de	de	no
risa	risa	es
~.	~.	caso
Había	Había	de
unos	unos	rusa.
hermanos	hermanos	Había
que	que	unos
eran	eran	hermanos
mu	mu	que
traviesos	traviesos	eran
~,	~,	ultra
no	no	viejos.
es	es	No
que	que	es
fueran	fueran	que
malos	malos	fueran
ni	ni	malos,
que	que	ni
fueran	fueran	que
~…	~…	fueran,
~,	~,	pero
pero	pero	eran
eran	eran	ultra
mu	mu	viejos.
traviesillos	traviesillos	Y
~,	~,	entonces
mu	mu	había
~…	~…	una
Y	Y	chosa,
entonces	entonces	tirando
había	había	las
unas	unas	quipas,
chozas	chozas	creer
~,	~,	en
tirando	tirando	las
de	de	medillas,
aquí	aquí	un
pa	pa	sitio
allá	allá	que
~,	~,	le
que	que	dije
le	le	en
dicen	dicen	el
Las	Las	meo.
Mellizas	Mellizas	Ahí
~,	~,	había
un	un	muchas
sitio	sitio	chicas,
que	que	que
le	le	me
dicen	dicen	lo
Bermejo	Mermejo	con
~.	~.	las
Allí	Allí	chicas,
había	bía	¿no?
muchas	muchas
chozas	chozas
~.	~.
¿~	¿~
Sabes	Sabes
lo	lo
que	que
es	es
una	una
choza	choza
~?	~?
~,	~,
¿~	¿~
no	no
~?	~?
~,	~,
más	más
o	o
menos	menos
~…	~…
