estandar	dialectal	whisper
la	la	Las
envoltura	envoltura	masorcas
~,	~,	de
la	la	maíz,
que	que	la
~…	~…	implura,
~,	~,	la
[HS:I3	[HS:I3	aventura,
		Las			Las	las
blancas	blancas	que
se	se	se
hacían	hacían	en
también	también	las
~.	~.	hojas
		]			]	y
son	son	por
las	las	aquello
hojas	hojas	se
así	así	juventud
~,	~,	en
[G-Mst]	[G-Mst]	la
pues	pues	ons
aquello	aquello
se	se
limpiaban	limpiaban
y	y
las	las
mejores	mejores
se	se
ponían	ponían
en	en
[A-Nul]	[A-Nul]
[HS:I3	[HS:I3
		Crac			Crac
~,	~,
crac	crac
~,	~,
crac	crac
[ONOMAT]	[ONOMAT]
~,	~,
se	se
movía	movía
~.	~.
[RISA]	[RISA]
		]			]
y	y
cuando	cuando
dormías	dormías
~,	~,
crac	crac
~,	~,
crac	crac
~,	~,
crac	crac
~,	~,
cra	cra
~,	~,
crac	crac
~,	~,
crac	crac
~,	~,
crac	crac
~,	~,
crac	crac
[ONOMAT]	[ONOMAT]
~.	~.
