estandar	dialectal	whisper
hacía	hacía	்,
los	los	
trajes	trajes
pa	pa
las	las
chicas	chicas
~,	~,
[HS:I3	[HS:I3
		Pa			Pa
las	las
chicas	chicas
jóvenes	jóvenes
~.	~.
		]			]
pa	pa
las	las
mozas	mozas
[HS:E1	[HS:E1
		¿~			¿~
Y	Y
no	no
había	había
sastre	sastre
~?	~?
		]			]
[HS:I3	[HS:I3
		[A-PIn:			[A-PIn:
		Una			Una
costurera	costurera
		]			]
~,	~,
		]			]
y	y
ella	ella
iba	iba
a	a
aprender	aprender
allí	allí
~.	~.
[HS:I3	[HS:I3
		Iba			Iba
a	a
aprender	aprender
allí	allí
~.	~.
		]			]
Iba	Iba
a	a
coser	coser
a	a
aprender	aprender
allí	allí
~.	~.
Y	Y
ella	ella
aprendió	aprendió
allí	allí
~.	~.
