estandar	dialectal	whisper
Sí	Sí	que
~,	~,	luego.
		Sí,
hombre	hombre	hombre,
		]			]	soy
~,	~,	la
eso	eso	misma,
ya	ya	me
viene	viene	mataba.
[HS:E1	[HS:E1	Sí,
		Sí			Sí	sí,
~,	~,	sí,
claro	claro	sí.
~,	~,	Cogí
claro	claro	a
~,	~,	su
claro	claro	muestra.
~.	~.	Sí,
		]			]	sí,
de	de	sí.
que	que	Sí,
cuando	cuando	sí,
matábamos	matábamos	sí,
aquí	aquí	sí,
también	también	sí.
venía	venía
[HS:E1	[HS:E1
		Sí			Sí
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
		]			]
el	el
[A-PIn:	[A-PIn:
		veterinario			veterinario
		]			]
~,	~,
cogía	cogía
sus	sus
muestras	muestras
[HS:E1	[HS:E1
		Sí			Sí
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
		]			]
y	y
lo	lo
miraba	miraba
~,	~,
[HS:E1	[HS:E1
		Sí			Sí
~,	~,
sí	sí
~,	~,
sí	sí
~.	~.
		]			]
sí	sí
~.	~.
