estandar	dialectal	whisper
Pero	Pero	pero
¿~	¿~	como
cómo	cómo	se
~,	~,	hacen
cómo	cómo	con
es	es	la
el	el	sala
~,	~,	aquí.
cómo	cómo	Por
se	se	ejemplo,
sazonan	sazonan	es
con	con	un
la	la	buen
sal	sal	hueso
~?	~?	que
Aquí	Aquí	tienen
~,	~,	jamón.
por	por	Hay
ejemplo	ejemplo	que
~,	~,	haber
¿~	¿~	algo
es	es	al
costumbre	costumbre	jamón.
~…	~…	No,
con	con	no,
un	un	no,
hueso	hueso	no,
que	que	no,
tiene	tiene
el	el
jamón	jamón
~,	~,
no	no
hay	hay
que	que
~,	~,
[HS:I1	[HS:I1
		No			No
~,	~,
no	no
~.	~.
Aquí	Aquí
~…	~…
		]			]
hay	hay
que	que
~…	~…
algo	algo
al	al
jamón	jamón
en	en
el	el
hueso	hueso
~?	~?
[HS:I1	[HS:I1
		No			No
~,	~,
no	no
~,	~,
no	no
~,	~,
no	no
~,	~,
		]			]
¿~	¿~
No	No
~…	~…
~?	~?
