estandar	dialectal	whisper
Había	Había	En
~…	~…	principios,
En	En	yo
principio	principio	pequeña
yo	yo	había
pequeña	pequeña	dos.
había	había	La
dos	dos	más
~,	~,	que
dos	dos	un
nada	nada	era
más	más	el
~,	~,	tío
que	que	de...
uno	uno	Y
era	era	otro
el	el	era
tío	tío	un
de	de	tabel,
		focando
Anonimizado	Anonimizado	mi
		madre
~,	~,	se
		murió
Anonimizado	Anonimizado	de
		una
~,	~,	pulmonía.
y	y	Y
otro	otro	fue
era	era	porque
~…	~…	el
un	un	médico...
tal	tal	Y
don	don	que
		era
Anonimizado	Anonimizado	el
		que
~.	~.	más
Fue	Fue	entendía
cuando	cuando	de
mi	mi	medicina.
madre	madre	Si
se	se	me
murió	murió	llegan
~,	~,	sus
se	se	fondos,
murió	murió	decí
de	de	que
una	una	entendía
pulmonía	pulmonía	más...
y	y	No
fue	fue	estaba.
porque	porque	Entonces
el	el	eran
médico	médico	los
~,	~,	médicos
don	don	por
		igual
Anonimizado	Anonimizado	a
		ti.
~,	~,	Si
que	que	no,
era	era	entonces
el	el	unre
que	que	models
más	más
~…	~…
entendía	entendía
de	de
medicina	medicina
~,	~,
si	si
me	me
oyeran	oyeran
sus	sus
~,	~,
sus	sus
nietos	nietos
decir	decir
que	que
entendía	entendía
más	más
don	don
	
Anonimizado	Anonimizado
	
que	que
	
Anonimizado	Anonimizado
	
~…	~…
[RISAS]	[RISAS]
Pues	Pues
~,	~,
no	no
estaba	estaba
~,	~,
en-	en-
~,	~,
entonces	entonces
eran	eran
los	los
médicos	médicos
por	por
iguala	iguala
~.	~.
Te	Te
pagabas	pagabas
todos	todos
los	los
meses	meses
tanto	tanto
o	o
cuanto	cuanto
aunque	aunque
no	no
lo	lo
tuvieras	tuvieras
que	que
llamar	llamar
~,	~,
pero	pero
todos	todos
los	los
meses	meses
pagabas	pagabas
una	una
cantidad	cantidad
~.	~.
