estandar	dialectal	whisper
Sí	Sí	Si
~,	~,	teníamos
hombre	hombre	quiera
~,	~,	palencia,
si	si	teníamos
teníamos	teníamos	quiera
que	que	un
ir	ir	sitio
a	a	y
Palencia	Palencia	lo
o	o	estaba
teníamos	teníamos	ya,
que	que	tenemos
ir	ir	estipulada
a	a	a
un	un	unos
sitio	sitio	dietais
y	y	de
~…	~…	comida
te-	te-	y
~,	~,	de
nos	nos	gastos
daban	daban	allá
ya	ya	y
~,	~,	de
teníamos	teníamos
estipulada	estipulada
unas	unas
dietas	dietas
de	de
comida	comida
y	y
de	de
~,	~,
y	y
de	de
~,	~,
y	y
de	de
~,	~,
y	y
de	de
gastos	gastos
de	de
viaje	viaje
~.	~.
[R-Vhc]	[R-Vhc]
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
de	de
gastos	gastos
de	de
viaje	viaje
~.	~.
