estandar	dialectal	whisper
|T15|	|T15|
No	No
~…	~…
~,	~,
no	no
~…	~…
~,	~,
no	no
~…	~…
~,	~,
no	no
~…	~…
~,	~,
no	no
~.	~.
De	De
regalo	regalo
~,	~,
nada	nada
~.	~.
De	De
nada	nada
~…	~…
~,	~,
nada	nada
~.	~.
Era	Era
el	el
día	día
de	de
Reyes	Reyes
~…	~…
~,	~,
el	el
día	día
de	de
Reyes	Reyes
a	a
mí	mí
sí	sí
me	me
~…	~…
eso	eso
~,	~,
a	a
lo	lo
mejor	mejor
mi	mi
madre	madre
me	me
compraba	compraba
una	una
muñeca	muñeca
~,	~,
pero	pero
~,	~,
como	como
a	a
mí	mí
~,	~,
te	te
pongo	pongo
de	de
mi	mi
edad	edad
~,	~,
como	como
a	a
mí	mí
~…	~…
Pero	Pero
una	una
muñeca	muñeca
que	que
a	a
lo	lo
mejor	mejor
costaba	costaba
la	la
muñeca	muñeca
diez	diez
pesetas	pesetas
~,	~,
no	no
te	te
creas	creas
que	que
era	era
más	más
~.	~.
