estandar	dialectal	whisper
El	El	que
hogar	hogar	lo
está	está	ahora
aquí	aquí	está
~,	~,	aquí
bajando	bajando	empajando
~,	~,	conforme
conforme	conforme	hay
habéis	habéis	cogido
cogido	cogido	la
la	la	canvieta,
calle	calle	ahora
esta	esta	un
~,	~,	vasalíquico
pos	pos	ahí
ahora	ahora	a
bajáis	bajáis	la
[R-Mcr]	[R-Mcr]	izquierda
y	y	y
cogéis	cogéis	ya
a	a	lo
la	la	vea
~…	~…	ahí,
~,	~,	se
a	a	queda
la	la	una
izquierda	izquierda	vez
y	y	que
~,	~,	se
y	y	pone
ya	ya	ahí
~,	~,	en
ya	ya	esta
~,	~,	canvieta,
ya	ya	a
lo	lo	la
veis	veis	derecha
allí	allí	de
~.	~.	aquí,
Ese	Ese	ahí
queda	queda	ya
~,	~,	no
ya	ya	sé
una	una	si
vez	vez	habrá
que	que	rio
se	se	en
ponéis	ponéis	allí
ahí	ahí
en	en
esta	esta
~…	~…
~|	~|
camino	camino
pa	pa
~|	~|
en	en
esta	esta
dirección	dirección
[R_Tlf]	[R_Tlf]
a	a
la	la
~…	~…
~,	~,
a	a
la	la
derecha	derecha
~,	~,
[HS:E3	[HS:E3
		A			A
la	la
de-	de-
~.	~.
		]			]
pero	pero
allí	allí
~,	~,
allí	allí
mismo	mismo
~,	~,
allí	allí
mismo	mismo
está	está
~.	~.
[HS:E3	[HS:E3
		Ah			Ah
~.	~.
		]			]
Ya	Ya
no	no
sé	sé
~,	~,
ya	ya
no	no
sé	sé
si	si
~,	~,
si	si
~…	~…
~,	~,
si	si
habrá	habrá
alguien	alguien
allí	allí
o	o
~,	~,
o	o
~…	~…
