estandar	dialectal	whisper
Algunos	Algunos	No
le	le	le
co-	co-	he
~,	~,	querido
le	le	que
~…	~…	llegase
echaban	echaban	a
un	un	un
poquillo	poquillo	poquillo
de	de	de
comino	comino	comienzo,
~,	~,	cuando
otros	otros	le
le	le	echaba
echaban	echaban	un
un	un	poquito
poquito	poquito	de
de	de	oregano,
orégano	orégano	pero
~,	~,	vamos
[HS:E3	[HS:E3	a
		[Asent]			[Asent]	ir
~.	~.	según
		]			]	las
pero	pero	casas,
vamos	vamos	como
eso	eso	era
según	según	la
las	las	casa
~,	~,	particular,
las	las	el
casas	casas	que
~,	~,	le
como	como	gustaba,
eran	eran	te
casas	casas	lo
particulares	particulares	echaba,
al	al	que
que	que	no
le	le	lo
gustaba	gustaba	le
se	se	gustaba
lo	lo	con
echaba	echaba	nosotros
y	y
al	al
que	que
no	no
le	le
gustaba	gustaba
pues	pues
no	no
se	se
lo	lo
echaba	echaba
~.	~.
