estandar	dialectal	whisper
Que	Que	Pero
luego	luego	luego
estalló	estalló	está
la	la	ya
guerra	guerra	la
~,	~,	guerra,
en	en	no
el	el	te
[HS:I2	[HS:I2	interesa.
		En			En	Sí.
el	el	Ya
36	36	es
~.	~.	año
A	A	antes
ver	vé	ya
~.	~.	se
Un	Un	viera.
año	año	Entonces,
antes	antes	poben
ya	ya	el
se	se	año
[A-PIn:	[A-PIn:	con
		veía			veía	un
		]			]	pardimulas
la	la	todo
cosa	cosa	el
mal	mal	año.
~.	~.	Trabajano.
		]			]	Y
36	36	que
~.	~.	viva
Pues	Pues	un
ya	ya
~…	~…
Y	Y
entonces	entonces
todo	todo
el	el
año	año
con	con
un	un
par	par
de	de
mulas	mulas
~,	~,
todo	todo
el	el
año	año
~,	~,
[HS:I2	[HS:I2
		Trabajando			Trabajando
~.	~.
		]			]
quinientas	quinientas
pesetas	pesetas
~,	~,
[HS:I2	[HS:I2
		Quinientas			Quinientas
pesetas	pesetas
~,	~,
[A-PIn:	[A-PIn:
		pobrecito			pobrecito
		]			]
~.	~.
		]			]
ganaba	ganaba
~.	~.
