estandar	dialectal	whisper
No	No	No,
~,	~,	sí,
sí	sí	no
~,	~,	me
yo	yo	gustaba
no	no	un
~,	~,	poco,
no	no	yo
me	me	le
gustaban	gustaban	tenía
porque	porque	que
yo	yo	ni
le	le	hablarle
tenía	tenía	de
miedo	mieo	artija,
a	a	pero
las	las	crían
lagartijas	legartijas	el
~,	~,	campo
pero	pero	y
criada	criá	arrancando
en	en	toda
el	el	la
campo	campo	veía,
y	y	veníamos,
~,	~,	venía
y	y	de
~,	~,	abajo,
y	y	nosotros
arrancando	arrancando	vivamos
toa	toa	arrancadas,
la	la	chicas
vida	vía	y
~,	~,	para
veníamos	veníamos	que
~|	~|	no
[HCruz:	[HCruz:	nos
		Dame			Dame	ensuciáramos
la	la	las
estera	estera	zapatillas,
~,	~,	veníamos
la	la	de
~|	~|	escasa,
esta	esta	todo
[OTRAS-EM]	[OTRAS-EM]	se
		]			]	va
~.	~.	al
Veníamos	Veníamos	rango
de	de	por
abajo	abajo	ahí
nosotros	nosotros	para
íbamos	íbamos	arriba,
a	a	porque
arrancar	arrancar	todo
~,	~,	era,
chicas	chicas	aquí
~,	~,	no
y	y	había
pa	pa	carretera,
que	que	sino
no	no	todo
nos	los	era
ensuciáramos	ensuciáramos	en
las	las	veréas,
zapatillas	zapatillas	en
veníamos	veníamos	el
descalzas	descalzas	camino,
~.	~.	bien
Todo	To	esc
ese	ese	enjoyed,
barranco	barranco	nosotros
por	por	mámoslos
ahí	ahí	heiram
pa	pa	todo,
arriba	arriba
~,	~,
esas	esas
caminadas	caminás
~,	~,
porque	porque
to	to
era	era
~…	~…
[OTRAS-EM]	[OTRAS-EM]
aquí	aquí
no	no
había	había
[OTRAS-EM]	[OTRAS-EM]
carretera	carretera
sino	sino
to	to
eran	eran
veredas	vereas
y	y
~,	~,
y	y
caminos	caminos
pedregullos	piedregullos
~.	~.
Los	Los
destrozábamos	estrozábamos
los	los
deditos	deítos
todos	todos
~.	~.
