estandar	dialectal	whisper
Po	Po	porque
quitarle	quitarle	tal
~|	~|	vez
una	una	que
vez	vez	los
que	que	peor
lo	lo	las
pelas	pelas	todos
~,	~,	los
todos	to	felillos
los	los	que
pelillos	pelillos	les
que	que	queda
le	le	y
quedan	quedan	luego
~.	~.	le
Y	Y	pasábamos
luego	luego	que
le	le	también
pasábamos	pasábamos	la
~,	~,	tengo
que	que	sino
también	también	el
lo	lo	vagado
tengo	tengo	sacate
~,	~,	cosas
porque	poque	y
si	si	la
no	no	morquino
~…	~…	está
[A-Inn]	[A-Inn]	aquí
porque	porque	luego
no	no	tengo
está	está	un
aquí	aquí	soplete,
~.	~.	una
[HS:E2	[HS:E2	cinta
		[RISAS]			[RISAS]	de
		]			]	gordo
Luego	Luego	con
tengo	tengo	una
el	el	bombona
soplete	soplete	de
asín	asín	satu
de	de	con
gordo	gordo	la
[G-Mst]	[G-Mst]	quita
con	con	aquí
una	una	te
bombona	bombona	ancanchaba
de	de	la
esas	esas	bombona
azul	azú	y
~.	~.	con
Una	Una	suerte
[A-Inn]	[A-Inn]
enganchabas	enganchabas
[OTRAS-EM]	[OTRAS-EM]
la	la
bombona	bombona
y	y
con	con
el	el
soplete	soplete
gordo	gordo
~,	~,
suh	suh
[ONOMAT]	[ONOMAT]
~.	~.
