estandar	dialectal	whisper
Con	Con	Eso
aceite	aceite	es
~.	~.	lo
Eso	Eso	que
es	es	hacía
lo	lo	yo.
que	que	Pero
hacía	hacía	la
yo	yo	gente
~.	~.	que
Vamos	Vamos	hace
~,	~,	las
pero	pero	madalenas,
~…	~…	hoy
~,	~,	hay
pero	pero	otros
hay	hay	adelantos
gente	gente	en
que	que	el
hace	hace	horno,
las	las	si
magdalenas	magdalenas	hay
~.	~.	otros
Hoy	Hoy	adelantos
hay	hay	hoy.
otros	otros	Y
adelantos	adelantos	a
en	en	la
el	el	gente
~,	~,	que
en	en	va
los	los	allí
hornos	hornos	abajo
y	y	hay
hay	hay	una
otros	otros	mujer
adelantos	adelantos	que
~.	~.	la
Ya	Ya	sabe
le	le	que
digo	digo	te
~,	~,	lo
pa	pa
allí	allí
pa	pa
abajo	abajo
hay	hay
una	una
mujer	mujer
que	que
las	las
hace	hace
creo	creo
mu	mu
bien	bien
~.	~.
