estandar	dialectal	whisper
No	No	que
me	me	la
extraña	extraña	gente
~,	~,	diga,
no	no	yo
me	me	voy
extraña	extraña	a
que	que	Cambris,
la	la	que
gente	gente	es
diga	diga	un
eso	eso	pueblo
~.	~.	que
Yo	Yo	se
voy	voy	prece,
a	a	que
Cambrils	Cambrils	es
~,	~,	y
que	que	que
se	se	atrae
~|	~|	a
un	un	100,
~,	~,	100
un	un	miles
~,	~,	de
un	un	eso,
pueblo	pueblo
que	que
se	se
precia	precia
de	de
~…	~…
~¡~	~¡~
Bueno	Bueno
~!	~!
~,	~,
que	que
se	se
precia	precia
no	no
~,	~,
~¡~	~¡~
que	que
es	es
~!	~!
y	y
que	que
atrae	atrae
a	a
~,	~,
a	a
~,	~,
a	a
cientos	cientos
~,	~,
cientos	cientos
de	de
miles	miles
de	de
~,	~,
de	de
eso	eso
~,	~,
entre	entre
Salou	Salou
y	y
Cambrils	Cambrils
~…	~…
