estandar	dialectal	whisper
lo	lo	Pues
que	que	yo
querrán	quedrán	soy
hacer	hacé	Jorge,
~.	~.	no
[RISAS]	[RISAS]	me
Yo	Yo	ven
como	como	a
lo	lo	dorar.
hago	hago	Porque
todo	todo	yo
tan	tan	es
~…	~…	algo
sin	sin	que
interés	interés	quedan
y	y	así.
sin	sin	Yo
no	no	como
~,	~,	lo
sin	sin	hago
~|	~|	toda.
Yo	Yo	Sin
he	he	interés,
estao	estao	yo
con	con	estaba
el	el	con
~,	~,	él
con	con	con
la	la	la
pierna	piena	vina
mala	mala	nada
y	y	y
si	si	se
llevo	llevo	llevó
dos	dos	donde
meses	meses	se
operada	operá	operaba.
y	y	Y
~,	~,	yo
y	y	también
es	es	me
que	que	está
~…	~…	ayudando.
Dios	Dios	Por
también	también	eso
me	me	siempre
está	está	estoy
ayudando	ayudando	con
~.	~.	la
Por	Por	medida
eso	eso	de
~,	~,	él.
siempre	siempre	Que
estoy	estoy	yo
con	con	no
~,	~,	haya
metida	metía	sentido
en	en	por
el	é	la
~.	~.	vina
Que	Que	ni
~,	~,	cinco
que	que	días.
yo	yo	Una
no	no	cosa
haya	haya	decir
sentío	sentío	que
por	por	era
la	la	sin
pierna	piena	la
ni	ni	raja.
~,	~,	De
ni	ni	verdad
cinco	cinco	tengo
días	días	fresca.
~…	~…	De
Una	Una	verme,
prótesis	prótesis	digo
que	que	no
~,	~,	me
que	que	da
era	era	ni
asín	asín	la
la	la	rasta.
raja	raja	Tenía
~,	~,	que
ya	ya	haber
la	la	ido,
tengo	tengo	pero
fresca	fresca	yo
~.	~.	no
Cuando	Cuando	me
tenga	tenga	llane.
el	el	Y
médico	médico	cuando
~,	~,	veo
no	no	a
me	me	la
ha	ha	bien,
dao	dao	decía
ni	ni	esto
el	el	que
alta	alta	sala
~.	~.	completamente.
Te-	Te-	No
~,	~,	por
tenío	tenío	er,
que	que	voy
haber	habé	sin
ido	ido	mueretas
y	y	a
hasta	hasta	la
que	que	calle
no	no	y
me	me	voy
llamen	llamen	a
~…	~…
Y	Y
cuando	cuando
vea	vea
la	la
pierna	piena
va	va
a	a
decir	decí
~:	~:
«~	«~
¿~	¿~
Y	Y
esto	esto
qué	qué
es	es
~?	~?
~»	~»
~.	~.
Sana	Sana
completamente	completamente
~;	~;
no	no
cojeo	cojeo
~;	~;
voy	voy
sin	sin
muletas	muletas
a	a
la	la
calle	calle
~…	~…
Y	Y
mu	mu
bien	bie
~,	~,
hija	hija
~.	~.
