estandar	dialectal	whisper
[HCruz:	[HCruz:
		Yo			Yo
~…	~…
~,	~,
no	no
lo	lo
he	he
visto	visto
~,	~,
eh	eh
~,	~,
yo	yo
~,	~,
	
Anonimizado	Anonimizado
	
~,	~,
yo	yo
no	no
lo	lo
he	he
visto	visto
ya	ya
~.	~.
Ni	Ni
el	el
horno	horno
de	de
pan	pan
de	de
~,	~,
de	de
tu	tu
~…	~…
~,	~,
de	de
tu	tu
tía	tía
tampoco	tampoco
~,	~,
el	el
horno	horno
de	de
pan	pan
de	de
	
Anonimizado	Anonimizado
	
tampoco	tampoco
lo	lo
he	he
visto	visto
~.	~.
Lo	Lo
he	he
visto	visto
ya	ya
derruido	derruido
como	como
está	está
ahora	ahora
		]			]
~.	~.
