estandar	dialectal	whisper
La	La	La
manteja	manteja	manteja
~|	~|	se
la	la	echaba
manteca	manteca	en
se	se	recipientes
echaba	echaba	para
en	en	usarlo
recipientes	recipientes	luego
para	para	durante
usarlo	usarlo	el
luego	luego	año,
durante	durante	para
el	el	usar
año	año	o
~,	~,	para
para	para	dar
asar	asar	lo
o	o	que
para	para	tiene
lo	lo	que
que	que	hacer
te	te	continuously
venga	venga	per
bien	bien
~,	~,
pa	pa
hacer	hacer
[HS:E1	[HS:E1
		Para			Para
como	como
~…	~…
~,	~,
como	como
~…	~…
		]			]
bollos	bollos
~,	~,
pa	pa
hacer	hacer
pastas	pastas
~…	~…
[HS:E1	[HS:E1
		Ah			Ah
~,	~,
vale	vale
~.	~.
		]			]
también	también
lo	lo
usábamos	usábamos
[HS:E1	[HS:E1
		Para			Para
Navidades	Navidades
~,	~,
		]			]
pa	pa
hacer	hacer
pastas	pastas
~.	~.
