estandar	dialectal	whisper
Lo	Lo	lo
primero	primero	primero
sangrarlo	sangrarlo	son銭
~,	~,	después
después	después	el
el	el	tarda
cerdo	cerdo	se
se	se	le
le	le	pega
pega	pega	aצם
~,	~,	usted
ah	ah	le
~,	~,	Trump
se	se	o
echa	echa	lo
y	y	que
se	se	hayître
le	le	y
echa	echa	se
helechos	helechos	haga
o	o	que
rozo	rozo	porque
o	o	se
lo	lo	ha
que	que	y
hay	hay	es
y	y	creators
se	se	que
quema	quema	nos
~,	~,	hanimo
se	se	porbre
arrastra	arrastra	aundy
~,	~,	se
se	se	os
limpia	limpia	Laura
por	por	un
fuera	fuera	rhinocorito
y	y	pero
después	después	¡Debe
se	se	ver
abre	abre	mi
el	el	mensaje
vientre	vientre	a
~.	~.	la
Y	Y
después	después
[A-Inn]	[A-Inn]
las	las
morcillas	morcillas
~,	~,
uno	uno
las	las
hace	hace
mejor	mejor
que	que
otros	otros
~,	~,
pero	pero
pa	pa
hacer	hacer
las	las
morcillas	morcillas
del	del
cerdo	cerdo
y	y
después	después
se	se
destaza	estaza
y	y
se	se
cura	cura
el	el
cerdo	cerdo
~,	~,
uno	uno
en	en
chorizos	chorizos
o	o
bien	bien
en	en
jamones	jamones
~,	~,
o	o
bien	bien
~,	~,
[HS:I1	[HS:I1
		[Asent]			[Asent]
~.	~.
		]			]
así	así
~…	~…
