estandar	dialectal	whisper
Pero	Pero	No,
bueno	bueno
~,	~,
eso	eso
es	es
igual	igual
~,	~,
si	si
[HS:I2	[HS:I2
		No			No
pasará	pasará
na	na
~,	~,
¿~	¿~
no	no
~?	~?
		]			]
eso	eso
no	no
~…	~…
[V-Sml]	[V-Sml]
No	No
~,	~,
no	no
~,	~,
no	no
~,	~,
no	no
~.	~.
[RISA]	[RISA]
[HS:I2	[HS:I2
		¿~			¿~
No	No
me	me
llevarán	llevarán
la	la
cárcel	cárcel
~?	~?
		]			]
[HS:E1	[HS:E1
		No			No
~,	~,
no	no
~,	~,
no	no
~,	~,
no	no
~,	~,
no	no
~.	~.
		]			]
Usted	Usted
puede	puede
estar	estar
tranquilísima	tranquilísima
que	que
no	no
~…	~…
~,	~,
que	que
no	no
pasa	pasa
absolutamente	absolutamente
nada	nada
~.	~.
Es	Es
un	un
trabajo	trabajo
que	que
es	es
para	para
universitarios	universitarios
y	y
no	no
~…	~…
Que	Que
esto	esto
ni	ni
~,	~,
ni	ni
va	va
a	a
salir	salir
publicado	publicado
ni	ni
es	es
para	para
nada	nada
malo	malo
ni	ni
nada	nada
de	de
nada	nada
~,	~,
[HS:E1	[HS:E1
		Un			Un
trabajo	trabajo
y	y
ya	ya
está	está
~.	~.
		]			]
vamos	vamos
~.	~.
Para	Para
hacer	hacer
un	un
trabajo	trabajo
nada	nada
más	más
~.	~.
