estandar	dialectal	whisper
Ahora	Ahora	Ahora
os	os	os
enseñaré	enseñaré	enseñaré
yo	yo	yo
áhi	áhi	a
una	una	un
[A-Inn]	[A-Inn]	arrastrante
que	que	tengo.
tengo	tengo	Estos
~.	~.	rolloas
[R-Cas]	[R-Cas]	llevaron
Estos	Estos	a
rollos	rollos	su
[HS:E2	[HS:E2	lado.
		Ah			Ah	Me
~.	~.	encerta
~¡~	~¡~	para
Qué	Qué	la
bonito	bonito
~!	~!
		]			]
[A-PIn:	[A-PIn:
		los			los
hacemos	hacemos
nosotros	nosotros
~.	~.
		]			]
[A-PIn:	[A-PIn:
		En			En
sa-	sa-
~,	~,
en	en
santa	santa
~…	~…
~,	~,
		]			]
para	para
la	la
fiesta	fiesta
~.	~.
