estandar	dialectal	whisper
Sí	Sí	сти
~,	~,	con
yo	yo	el
voy	voy	equipo,
~…	~…	desde
por	por	hace
regla	regla	14
general	generá
na	na
más	más
que	que
el	el
bar	bar
ese	ese
y	y
luego	luego
ya	ya
pues	pues
ahora	ahora
iba	iba
pa	pa
mi	mi
casa	casa
porque	porque
si	si
no	no
se	se
presentan	presentan
a	a
ustedes	ustedes
pos	pos
yo	yo
iba	iba
pa	pa
mi	mi
casa	casa
~.	~.
Ahora	Ahora
ya	ya
~,	~,
ya	ya
[A-Inn]	[A-Inn]
animales	animales
ya	ya
están	están
listos	listos
hasta	hasta
luego	luego
la	la
tarde	tarde
~,	~,
luego	luego
a	a
la	la
tarde	tarde
me	me
doy	doy
otra	otra
vuelta	vuelta
y	y
[A-Inn]	[A-Inn]
~.	~.
