estandar	dialectal	whisper
Sí	Sí
~,	~,
más	más
mayor	mayor
que	que
yo	yo
y	y
~…	~…
no	no
~,	~,
[A-Nul]	[A-Nul]
A	A
mi	mi
hermana	hermana
esta	esta
~,	~,
no	no
~.	~.
Esta	Esta
~,	~,
esta	esta
~…	~…
pero	pero
a	a
mí	mí
me	me
traía	traía
muy	muy
a	a
raya	raya
~,	~,
porque	porque
yo	yo
he	he
sido	sido
muy	muy
abierta	abierta
de	de
carácter	carácter
~,	~,
de	de
carácter	carácter
~,	~,
y	y
soy	soy
~,	~,
enseguida	enseguida
hago	hago
amistad	amistad
con	con
la	la
gente	gente
~,	~,
enseguida	enseguida
~…	~…
Yo	Yo
hablo	hablo
con	con
toa	toa
la	la
gente	gente
del	del
pueblo	pueblo
~,	~,
to'l	to'l
mundo	mundo
conoce	conoce
[A-Inn]	[A-Inn]
~.	~.
Y	Y
[A-Inn]	[A-Inn]
~…	~…
veinte	veinte
veces	veces
me	me
ha	ha
lavao	lavao
la	la
cara	cara
~,	~,
porque	porque
me	me
ponía	ponía
~,	~,
me	me
cogía	cogía
la	la
pintura	pintura
y	y
me	me
ponía	ponía
como	como
una	una
~…	~…
Ahora	Ahora
lo	lo
reconozco	reconozco
y	y
digo	digo
~:	~:
«~	«~
Hay	Hay
que	que
joderse	joderse
cómo	cómo
me	me
ponía	ponía
~,	~,
¿~	¿~
eh	eh
~?	~?
~,	~,
¿~	¿~
cómo	cómo
me	me
pintaría	pintaría
yo	yo
tanto	tanto
~?	~?
~»	~»
~.	~.
Me	Me
veía	veía
~,	~,
me	me
cogía	cogía
en	en
la	la
plaza	plaza
~,	~,
donde	donde
estuviera	estuviera
y	y
a	a
la	la
primer	primer
fuente	fuente
que	que
había	había
~.	~.
Me	Me
lavaba	lavaba
la	la
cara	cara
~,	~,
¿~	¿~
sabes	sabes
~?	~?
Así	Así
que	que
~…	~…
Pero	Pero
así	así
es	es
~.	~.
Y	Y
nos	nos
íbamos	íbamos
al	al
castillo	castillo
a	a
dar	dar
una	una
vuelta	vuelta
porque	porque
no	no
había	había
[A-Inn]	[A-Inn]
antes	antes
no	no
había	había
[A-Inn]	[A-Inn]
~.	~.
A	A
dar	dar
una	una
vuelta	vuelta
al	al
castillo	castillo
[A-Inn]	[A-Inn]
y	y
ya	ya
te	te
digo	digo
~,	~,
a	a
las	las
nueve	nueve
o	o
por	por
ahí	ahí
[A-PIn:	[A-PIn:
		ibas			ibas
a	a
casa	casa
~,	~,
		]			]
no	no
había	había
más	más
~,	~,
[A-Inn]	[A-Inn]
eran	eran
las	las
juergas	juergas
que	que
teníamos	teníamos
~.	~.
Y	Y
así	así
~.	~.
