estandar	dialectal	whisper
Cuéntenos	Cuéntenos	¿Cuéntanos?
~,	~,	Lígama.
bueno	bueno	No
~,	~,	sé
[HS:I1	[HS:I1	si,
		Dígame			Dígame	preguntarle.
~.	~.	Aquí
		]			]	se
no	no	ha
sé	sé	comido
si	si	mucho
preguntarle	preguntarle	con
~.	~.	ejo
Aquí	Aquí	siempre,
se	se	¿no?
ha	ha	En
comido	comido	esta...
mucho	mucho	En
conejo	conejo	esta...
siempre	siempre	Sí,
~,	~,	en
¿~	¿~	esta...
no	no	En
~?	~?	esta...
En	En
esta	esta
~,	~,
en	en
esta	esta
~…	~…
~,	~,
[HS:I1	[HS:I1
		Sí			Sí
~,	~,
en	en
esta	esta
~…	~…
		]			]
en	en
Cataluña	Cataluña
hay	hay
mucha	mucha
tradición	tradición
~…	~…
[HS:I1	[HS:I1
		Sí			Sí
~,	~,
mu-	mu-
~,	~,
mucho	mucho
~…	~…
~,	~,
		]			]
