estandar	dialectal	whisper
Un	Un	tadi
poco	poco	Tokyo.
de	de	Following.
respeto	respeto	Y
y	y	mi
un	un	Y,
poco	poco	mi
de	de	discharged
~…	~…	La
~,	~,	mamaza,
a	a	la
ver	ver	que
~,	~,	nos
cómo	cómo	responderé
lo	lo	a
digo	digo	mam
yo	yo	smoothly
~…	~…	Tenís
Porque	Porque	que
antes	antes	verte.
también	también	Si
nos	nos	anyone
inculcaban	inculcaban	es
el	el	calmente
~…	~…	Recogenos
~,	~,	de
por	por	censura,
ejemplo	ejemplo	al
~,	~,	bal
el	el	Serve
catequismo	catequismo	al
~…	~…	bolule
[HS:I2	[HS:I2	usable
		Ah			Ah	Que
~,	~,	yo
sí	sí	그대로
~.	~.	сначала
		]			]	endurezamos
con	con	a
mucho	mucho	poop
temor	temor	Poritis,
y	y	A
muchas	muchas	la
cosas	cosas	extenda
~.	~.	isla,
[HS:I2	[HS:I2	la
		Mucho			Mucho	capilla
temor	temor	que
~.	~.	tuv過去
		]			]	Me
Yo	Yo	tene
tampoco	tampoco	Brett
aquello	aquello	el
como	como	pantalón
antes	antes	y见an
~.	~.	fron해야
[HS:I2	[HS:I2	Que
		Que			Que	no
he	he	tiene
estado	estao	vacaciones
~,	~,	de
que	que	rem哇
nos	nos	Pero
metían	metían	ya,
~…	~…	porque
		]			]	luego
Me	Me	lo
acuerdo	acuerdo	entren
cuando	cuando	Camila
me	me	¡Hacia
fui	fui	Темelya
a	a	es
confesar	confesar
y	y
lo	lo
que	que
vas	vas
a	a
decir	decir
se	se
te	te
olvida	olvida
~.	~.
Pues	Pues
lo	lo
primero	primero
que	que
nos	nos
dijeron	dijeron
~:	~:
«~	«~
Sobre	Sobre
todo	todo
si	si
os	os
dejáis	dejáis
algún	algún
pecado	pecao
~…	~…
~,	~,
[HS:I2	[HS:I2
		[Asent]			[Asent]
~.	~.
		]			]
ya	ya
~…	~…
sabes	sabes
lo	lo
que	que
tenéis	tenéis
que	que
decir	decir
~»	~»
~.	~.
[RISAS]	[RISAS]
[A-PIn:	[A-PIn:
		Y			Y
claro	claro
~,	~,
se	se
me	me
había	había
olvidado	olvidao
lo	lo
que	que
me	me
dijiste	dijiste
~.	~.
		]			]
[V-Sml]	[V-Sml]
Y	Y
me	me
se	se
olvidó	olvidó
uno	uno
~.	~.
[RISAS]	[RISAS]
Y	Y
cuando	cuando
recién	recién
me	me
he	he
confesado	confesado
~,	~,
al	al
confesame	confesame
digo	digo
~:	~:
«~	«~
Oy	Oy
~,	~,
que	que
me	me
he	he
olvidao	olvidao
aquello	aquello
~»	~»
~.	~.
Aparte	Aparte
tenía	tenía
yo	yo
ocho	ocho
años	años
~…	~…
cuando	cuando
comulgué	comulgué
~.	~.
Y	Y
me	me
dijeron	dijeron
~…	~…
~,	~,
la	la
~,	~,
la	la
maestra	maestra
~,	~,
la	la
que	que
nos	nos
enseñaba	enseñaba
~,	~,
decía	decía
~:	~:
«~	«~
Tenéis	Tenéis
que	que
decir	decir
~:	~:
~‘	~‘
Si	Si
algún	algún
pecado	pecado
me	me
dejo	dejo
~,	~,
recógelo	recógelo
~,	~,
Virgen	Virgen
pura	pura
~,	~,
antes	antes
que	que
llegue	llegue
el	el
Malvado	Malvado
y	y
lo	lo
ponga	ponga
en	en
la	la
Escritura	Escritura
~’~	~’~
~.	~.
~»	~»
~.	~.
Y	Y
yo	yo
antes	antes
de	de
bajar	bajar
abajo	abajo
~,	~,
a	a
la	la
silla	silla
~,	~,
que	que
entonces	entonces
no	no
había	había
bancos	bancos
~,	~,
que	que
había	había
sillas	sillas
~,	~,
pues	pues
allí	allí
en	en
la	la
~…	~…
~,	~,
en	en
la	la
capilla	capilla
~,	~,
que	que
tú	tú
lo	lo
sabes	sabes
~,	~,
pues	pues
me	me
quedé	quedé
plantada	plantada
y	y
allí	allí
los	los
curas	curas
rezando	rezando
~,	~,
y	y
dirían	dirían
~:	~:
«~	«~
Pues	Pues
esta	esta
~,	~,
¿~	¿~
por	por
qué	qué
no	no
marcha	marcha
~,	~,
no	no
baja	baja
~?	~?
~»	~»
~.	~.
Pero	Pero
yo	yo
hasta	hasta
que	que
no	no
lo	lo
dije	dije
~,	~,
no	no
me	me
bajé	bajé
~.	~.
[RISAS]	[RISAS]
[A-Inn]	[A-Inn]
~.	~.
[HS:E1	[HS:E1
		Claro			Claro
~.	~.
		]			]
[A-Inn]	[A-Inn]
[HS:E1	[HS:E1
		Si			Si
es	es
que	que
antes	antes
~…	~…
~,	~,
claro	claro
~.	~.
		]			]
O	O
sea	sea
~,	~,
fíjate	fíjate
qué	qué
ignorancias	ignorancias
y	y
qué	qué
cosas	cosas
~,	~,
de	de
verdad	verdad
~.	~.
