estandar	dialectal	whisper
La	La	La
brea	brea	Brea
era	era	era
para	para	para
darle	darle	dar
a	a	las
las	las	maderas
mareas	mareas	para
~|	~|	conservarla
a	a	y
las	las	que
maderas	maderas	flotaran
~,	~,	los
pa	pa	marcos
conservarlas	conservalas	y
~,	~,	que
y	y	los
que	que	muestran
flotaran	flotaran
los	los
barcos	barcos
~,	~,
y	y
que	que
~,	~,
y	y
~…	~…
~,	~,
y	y
que	que
los	los
~…	~…
~,	~,
[HS:I2	[HS:I2
		Sí			Sí
~,	~,
porque	porque
los	los
barcos	barcos
~,	~,
		]			]
que	que
se	se
conservaran	conservaran
~.	~.
