estandar	dialectal	whisper
Sí	Sí	y
~…	~…	muchas
Y	Y	personas,
muchas	muchas	no
[A-Inn]	[A-Inn]	creo
~,	~,	que
no	no	hay
crea	crea	un
que	que	anidor
ni	ni	de
una	una	eso,
ni	ni	lo
dos	dos	te
de	de	corrieron,
eso	eso	pero
~,	~,	es
eh	eh	el
~…	~…	que
[A-Inn]	[A-Inn]	tenía
Y	Y	para
luego	luego	un
~,	~,	par,
el	el	pues
que	que	un
tenía	tenía	par
para	para	que
un	un	tenía,
par	par	son
~…	~…	las
~,	~,	arcinas
pos	pos	que
un	un	quedan
par	par	muy
que	que	tuviérates,
tenía	tenía	entonces,
~.	~.	ya
[OTRAS-EM]	[OTRAS-EM]	mucho
Según	Según	trigo
las	las	y
fincas	fincas	se
que	que	coge
cada	cada	mucho
uno	uno	feito,
tuviera	tuviera	aquí
~.	~.	hay
Entonces	Entonces	ahora
~,	~,	mismo,
pues	pues	y
se	se	ahí
cogía	cogía	menos,
mucho	mucho	pero
trigo	trigo	ahora
y	y	mismo
se	se	hay,
coge	coge	tener
mucho	mucho	cinco
aceite	aceite	haltes
~,	~,	de
aquí	aquí	feito,
hay	hay	pero
ahora	ahora	ahí
mismo	mismo	por
~,	~,	esta
y	y	carretera
~,	~,	igual
y	y	para
hay	hay	abajo,
menos	menos	o
~,	~,	bueno,
pero	pero	me
ahora	ahora	de
mismo	mismo	antes
hay	hay	de
por	por	llegar
lo	lo	al
menos	menos	cementerio,
cinco	cinco	a
fábricas	fábricas	derecha
de	de	y
aceite	aceite	a
~.	~.	la
Por	Por	izquierda,
ahí	ahí	por
~,	~,	que
por	por	lo
esta	esta	se
carretera	carretera	que,
~…	~…	que
si	si	es
van	van	colaborar
para	para	aquí.
abajo	abajo	En
~,	~,	las
pos	pos	internas
van	van	se
a	a	os
veder	veder	llevan
~,	~,	lo
antes	antes	que
de	de	no
llegar	llegar	se
al	al	gastan
cementerio	cementerio	en
~,	~,	el
a	a	pueblo,
derecha	derecha	en
y	y	el
a	a	pueblo
izquierda	izquierda	y
~,	~,	mucha
[A-PIn:	[A-PIn:	gente
		están			están	de
todos	tos	más
ahí	ahí	riquevina
~.	~.	por
		]			]	ello,
Y	Y	pero
se	se	todos
colabora	colabora	esos
aquí	aquí	aceite
~.	~.	de
Vienen	Vienen	lima
las	las	estamos
cisternas	cisternas	acostumbrados,
y	y	a
se	se	que
los	los	andáis
llevan	llevan	a
~,	~,	la
lo	lo	livaje,
~,	~,	mejor
lo	lo	que
que	que	el
no	no	otro
se	se	aceite
gasta	gasta	que
en	en	se
el	el	desgazó
pueblo	pueblo	esas
~,	~,	cosas,
en	en	y
el	el	aquí
pueblo	pueblo	se
y	y	vende
~…	~…	a
mucha	mucha	las
gente	gente	feitas
de	de	de
Madrid	Madrid	lido
que	que	mucho,
viene	viene	y
a	a	eso
por	por	es
ello	ello	lo
~.	~.	que
Porque	Porque	se
como	como	ha
es	es	habido
aceite	aceite	aquí,
de	de	de
oliva	oliva	la
~,	~,	campu
y	y	y
estamos	estamos	el
acostumbraos	acostumbraos	que
a	a	no
donde	donde	fue
hay	hay	eso
olivaje	olivaje	de
~,	~,	los
mejor	mejor	fichos
que	que	que
el	el
~,	~,
l'el_otro	l'otro
aceite	aceite
~,	~,
que	que
si	si
de	de
girasol	girasol
y	y
esas	esas
cosas	cosas
~.	~.
Y	Y
aquí	aquí
se	se
vende	vende
el	el
aceite	aceite
este	este
de	de
[A-PIn:	[A-PIn:
		olivo			olivo
		]			]
mucho	mucho
más	más
~…	~…
Y	Y
de	de
eso	eso
~.	~.
De	De
eso	eso
lo	lo
que	que
se	se
ha	ha
vivido	vivido
aquí	aquí
~,	~,
la	la
gente	gente
~.	~.
De	De
la	la
~…	~…
~,	~,
del	del
campo	campo
y	y
el	el
que	que
~…	~…
~,	~,
el	el
que	que
no	no
~,	~,
pues	pues
de	de
~…	~…
~,	~,
de	de
eso	eso
~,	~,
del	del
oficio	oficio
que	que
haya	haya
tenido	tenido
~.	~.
