estandar	dialectal	whisper
Y	Y	...y
~,	~,	luego
luego	luego	a
~,	~,	la
a	a	noche
la	la	por
noche	noche	Rosalda......y
~,	~,	si
porrusalda	porrusalda	había
y	y	algo
~,	~,	de
si	si	sartén
había	había	que
algo	algo	le
de	de	llamábamos......tocino
sartén	sartén	un
~,	~,	poco
que	que	de
le	le	chorizo......a
llamábamos	llamábamos	algún
tocino	tocino	huevo......porque
~,	~,	huevo
un	un	bracarototes......tres
poco	poco	más
de	de
chorizo	chorizo
~,	~,
algún	algún
huevo	huevo
~,	~,
porque	porque
huevo	huevo
era	era
caro	caro
entonces	entonces
~,	~,
allí	allí
pues	pues
~,	~,
entonces	entonces
~,	~,
los	los
abuelos	abuelos
~…	~…
[HS:E1	[HS:E1
		¿~			¿~
No	No
tenían	tenían
~,	~,
		]			]
