estandar	dialectal	whisper
[R-Vcs]	[R-Vcs]	como
Sí	Sí	cuando
~.	~.	termino
Como	Como	o
~.	~.	si
Cuando	Cuando	supriga
termino	termino	los
~,	~,	prácteos,
pues	pues	si
~…	~…	se
friegas	friegas	que
los	los	arregla,
platos	platos	ya
~,	~,	está,
arreglas	arreglas	con
lo	lo	un
que	que	racío
tienes	tienes	de
que	que	la
arreglar	arreglar	tele
~,	~,	y
ya	ya	deño,
está	está	entonces
~.	~.	cuando
Me	Me	me
pongo	pongo	parece,
un	un	me
ratito	ratito	cambio
allí	allí	y
a	a	aquí,
ver	ver	unato
la	la	y
tele	tele	uóohora,
y	y
~,	~,
y	y
~…	~…
ya	ya
~,	~,
ya	ya
~.	~.
Entonces	Entonces
~,	~,
cuando	cuando
me	me
parece	parece
~,	~,
[HS:I2	[HS:I2
		[L-Otra:			[L-Otra:
		Bona			Bona
tarda	tarda
		]			]
~.	~.
		]			]
me	me
cambio	cambio
y	y
~…	~…
~,	~,
y	y
~,	~,
mira	mira
aquí	aquí
~,	~,
un	un
par	par
de	de
horas	horas
~…	~…
