estandar	dialectal	whisper
Los	Los	Shooting
padres	padres	final
no	no	¿inc
me	me	believed
dejaron	dejaron	night?
que	que	Para
hablara	hablara	hablar
con	con	la
ella	ella	これfria
de	de	No
noche	noche	me
~.	~.	imagino
[RISAS]	[RISAS]	a
Pero	Pero	la
hablaba	hablaba	primera
de	de	vez
día	día	Tend
~.	~.	brew
[RISAS]	[RISAS]	glass
Pero	Pero	la
~,	~,	Franца
madre	mae
mía	mía
la	la
primera	primera
vez	vez
que	que
le	le
di	di
el	el
primer	primer
beso	beso
[A-Inn]	[A-Inn]
[RISAS]	[RISAS]
estuvo	estuvo
~…	~…
Digo	Digo
~:	~:
«~	«~
De	De
aquí	aquí
a	a
la	la
gloria	gloria
~»	~»
~.	~.
